frame,executed_action,move_ahead,rotate_right,rotate_left,move_back,done,sub_done,rotate_left_small,rotate_right_small
29,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,m,0.564,0.455,0.0,0.0,0.0,0.0,0.0,0.0
31,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,l,0.6,0.0,0.382,0.0,0.0,0.0,0.0,0.0
42,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
46,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,r,0.564,0.455,0.0,0.0,0.0,0.0,0.0,0.0
53,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,m,0.745,0.236,0.0,0.0,0.0,0.0,0.0,0.0
67,r,0.0,0.818,0.164,0.0,0.0,0.0,0.0,0.0
68,m,0.891,0.091,0.0,0.0,0.0,0.0,0.0,0.0
69,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,m,0.855,0.127,0.0,0.0,0.0,0.0,0.0,0.0
71,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,r,0.745,0.236,0.0,0.0,0.0,0.0,0.0,0.0
76,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,m,0.345,0.164,0.491,0.0,0.0,0.0,0.0,0.0
79,l,0.0,0.091,0.891,0.0,0.0,0.0,0.0,0.0
80,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,l,0.055,0.0,0.964,0.0,0.0,0.0,0.0,0.0
86,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,l,0.164,0.0,0.818,0.0,0.0,0.0,0.0,0.0
96,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
104,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
105,m,0.964,0.0,0.055,0.0,0.0,0.0,0.0,0.0
106,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,m,0.855,0.127,0.0,0.0,0.0,0.0,0.0,0.0
116,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,m,0.964,0.055,0.0,0.0,0.0,0.0,0.0,0.0
120,r,0.855,0.164,0.0,0.0,0.0,0.0,0.0,0.0
121,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
123,b,0.745,0.0,0.236,0.0,0.0,0.0,0.0,0.0
124,r,0.0,0.782,0.2,0.0,0.0,0.0,0.0,0.0
125,r,0.745,0.273,0.0,0.0,0.0,0.0,0.0,0.0
126,r,0.055,0.964,0.0,0.0,0.0,0.0,0.0,0.0
127,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,m,0.782,0.0,0.2,0.0,0.0,0.0,0.0,0.0
133,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,m,0.927,0.0,0.091,0.0,0.0,0.0,0.0,0.0
141,l,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0
142,r,0.091,0.891,0.0,0.0,0.0,0.0,0.0,0.0
143,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,r,0.745,0.273,0.0,0.0,0.0,0.0,0.0,0.0
145,m,0.927,0.0,0.091,0.0,0.0,0.0,0.0,0.0
146,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
150,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
151,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,m,0.818,0.0,0.164,0.0,0.0,0.0,0.0,0.0
171,l,0.055,0.0,0.927,0.0,0.0,0.0,0.0,0.0
172,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
173,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,m,0.855,0.0,0.127,0.0,0.0,0.0,0.0,0.0
175,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,l,0.418,0.0,0.6,0.0,0.0,0.0,0.0,0.0
180,l,0.273,0.055,0.673,0.0,0.0,0.0,0.0,0.0
181,l,0.055,0.2,0.745,0.0,0.0,0.0,0.0,0.0
182,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
183,m,0.309,0.0,0.673,0.0,0.0,0.0,0.0,0.0
184,m,0.891,0.0,0.091,0.0,0.0,0.0,0.0,0.0
185,m,0.855,0.0,0.164,0.0,0.0,0.0,0.0,0.0
186,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,r,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0
192,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,m,0.418,0.0,0.564,0.0,0.0,0.0,0.0,0.0
202,l,0.055,0.0,0.927,0.0,0.0,0.0,0.0,0.0
203,l,0.455,0.0,0.527,0.0,0.0,0.0,0.0,0.0
204,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,m,0.964,0.055,0.0,0.0,0.0,0.0,0.0,0.0
209,m,0.964,0.055,0.0,0.0,0.0,0.0,0.0,0.0
210,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,m,0.818,0.0,0.2,0.0,0.0,0.0,0.0,0.0
215,m,0.382,0.0,0.6,0.0,0.0,0.0,0.0,0.0
216,l,0.273,0.0,0.745,0.0,0.0,0.0,0.0,0.0
217,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,m,0.855,0.091,0.055,0.0,0.0,0.0,0.0,0.0
222,l,0.164,0.382,0.455,0.0,0.0,0.0,0.0,0.0
223,l,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0
224,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,m,0.745,0.0,0.236,0.0,0.0,0.0,0.0,0.0
233,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
234,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,r,0.455,0.527,0.0,0.0,0.0,0.0,0.0,0.0
248,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,m,0.709,0.273,0.0,0.0,0.0,0.0,0.0,0.0
251,r,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0
252,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,m,0.6,0.382,0.0,0.0,0.0,0.0,0.0,0.0
256,r,0.127,0.6,0.273,0.0,0.0,0.0,0.0,0.0
257,r,0.127,0.855,0.0,0.0,0.0,0.0,0.0,0.0
258,m,0.891,0.036,0.055,0.0,0.0,0.0,0.0,0.0
259,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
263,m,0.527,0.0,0.455,0.0,0.0,0.0,0.0,0.0
264,l,0.236,0.0,0.745,0.0,0.0,0.0,0.0,0.0
265,m,0.891,0.0,0.091,0.0,0.0,0.0,0.0,0.0
266,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,m,0.782,0.0,0.236,0.0,0.0,0.0,0.0,0.0
273,r,0.055,0.0,0.927,0.0,0.0,0.0,0.0,0.0
274,m,0.855,0.091,0.055,0.0,0.0,0.0,0.0,0.0
275,m,0.855,0.0,0.127,0.0,0.0,0.0,0.0,0.0
276,m,0.636,0.0,0.345,0.0,0.0,0.0,0.0,0.0
277,m,0.709,0.0,0.273,0.0,0.0,0.0,0.0,0.0
278,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
279,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,m,0.964,0.0,0.055,0.0,0.0,0.0,0.0,0.0
283,m,0.855,0.0,0.127,0.0,0.0,0.0,0.0,0.0
284,m,0.709,0.0,0.309,0.0,0.0,0.0,0.0,0.0
285,l,0.455,0.0,0.564,0.0,0.0,0.0,0.0,0.0
286,l,0.055,0.0,0.964,0.0,0.0,0.0,0.0,0.0
287,l,0.055,0.0,0.927,0.0,0.0,0.0,0.0,0.0
288,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
289,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
290,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
291,l,0.091,0.0,0.891,0.0,0.0,0.0,0.0,0.0
292,m,0.855,0.055,0.091,0.0,0.0,0.0,0.0,0.0
293,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,m,0.964,0.0,0.055,0.0,0.0,0.0,0.0,0.0
295,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
296,m,0.891,0.0,0.091,0.0,0.0,0.0,0.0,0.0
297,m,0.891,0.0,0.091,0.0,0.0,0.0,0.0,0.0
298,m,0.964,0.0,0.055,0.0,0.0,0.0,0.0,0.0
299,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
300,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,m,0.964,0.055,0.0,0.0,0.0,0.0,0.0,0.0
308,m,0.673,0.345,0.0,0.0,0.0,0.0,0.0,0.0
309,r,0.2,0.782,0.0,0.0,0.0,0.0,0.0,0.0
310,m,0.891,0.091,0.055,0.0,0.0,0.0,0.0,0.0
311,r,0.855,0.091,0.055,0.0,0.0,0.0,0.0,0.0
312,m,0.709,0.091,0.164,0.0,0.0,0.0,0.0,0.0
313,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
314,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,l,0.527,0.0,0.491,0.0,0.0,0.0,0.0,0.0
319,l,0.055,0.0,0.964,0.0,0.0,0.0,0.0,0.0
320,m,0.927,0.055,0.0,0.0,0.0,0.0,0.0,0.0
321,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,m,0.927,0.0,0.055,0.0,0.0,0.0,0.0,0.0
324,m,0.818,0.0,0.2,0.0,0.0,0.0,0.0,0.0
325,m,0.709,0.0,0.309,0.0,0.0,0.0,0.0,0.0
326,m,0.418,0.0,0.564,0.0,0.0,0.0,0.0,0.0
327,l,0.236,0.0,0.745,0.0,0.0,0.0,0.0,0.0
328,l,0.127,0.0,0.855,0.0,0.0,0.0,0.0,0.0
329,m,0.782,0.0,0.164,0.0,0.0,0.0,0.0,0.0
330,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,m,0.527,0.0,0.455,0.0,0.0,0.0,0.0,0.0
332,l,0.164,0.0,0.855,0.0,0.0,0.0,0.0,0.0
333,r,0.855,0.091,0.055,0.0,0.0,0.0,0.0,0.0
334,l,0.236,0.0,0.745,0.0,0.0,0.0,0.0,0.0
335,m,0.673,0.164,0.127,0.0,0.0,0.0,0.0,0.0
336,m,0.964,0.0,0.055,0.0,0.0,0.0,0.0,0.0
337,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,m,0.964,0.0,0.055,0.0,0.0,0.0,0.0,0.0
344,m,0.927,0.0,0.091,0.0,0.0,0.0,0.0,0.0
345,m,0.891,0.0,0.127,0.0,0.0,0.0,0.0,0.0
346,m,0.818,0.0,0.164,0.0,0.0,0.0,0.0,0.0
347,m,0.818,0.0,0.164,0.0,0.0,0.0,0.0,0.0
348,l,0.855,0.0,0.127,0.0,0.0,0.0,0.0,0.0
349,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,r,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
362,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,l,0.6,0.0,0.382,0.0,0.0,0.0,0.0,0.0
368,m,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,l,0.273,0.0,0.709,0.0,0.0,0.0,0.0,0.0
375,l,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
376,l,0.164,0.127,0.709,0.0,0.0,0.0,0.0,0.0
377,r,0.055,0.564,0.345,0.0,0.0,0.0,0.0,0.0
378,m,0.345,0.273,0.382,0.0,0.0,0.0,0.0,0.0
379,m,0.6,0.0,0.382,0.0,0.0,0.0,0.0,0.0
380,m,0.636,0.0,0.382,0.0,0.0,0.0,0.0,0.0
381,l,0.636,0.0,0.382,0.0,0.0,0.0,0.0,0.0
382,r,0.455,0.127,0.382,0.0,0.0,0.0,0.0,0.0
383,l,0.345,0.164,0.455,0.0,0.0,0.0,0.0,0.0
384,r,0.345,0.164,0.491,0.0,0.0,0.0,0.0,0.0
