task_key,house_index,target_count,valid_aabb_count,complete,median_aabb_volume_m3,median_max_side_m,status
ObjectNavType/val/011097/raw_navigation_camera__0.mp4,11097,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011131/raw_navigation_camera__0.mp4,11131,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011157/raw_navigation_camera__0.mp4,11157,8,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011295/raw_navigation_camera__0.mp4,11295,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011321/raw_navigation_camera__0.mp4,11321,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011535/raw_navigation_camera__0.mp4,11535,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011549/raw_navigation_camera__0.mp4,11549,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011599/raw_navigation_camera__0.mp4,11599,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011633/raw_navigation_camera__0.mp4,11633,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011819/raw_navigation_camera__0.mp4,11819,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011865/raw_navigation_camera__0.mp4,11865,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011881/raw_navigation_camera__0.mp4,11881,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011933/raw_navigation_camera__0.mp4,11933,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/011951/raw_navigation_camera__0.mp4,11951,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012036/raw_navigation_camera__0.mp4,12036,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012042/raw_navigation_camera__0.mp4,12042,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012045/raw_navigation_camera__0.mp4,12045,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012050/raw_navigation_camera__0.mp4,12050,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012080/raw_navigation_camera__0.mp4,12080,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012207/raw_navigation_camera__0.mp4,12207,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012231/raw_navigation_camera__0.mp4,12231,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012238/raw_navigation_camera__0.mp4,12238,15,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012245/raw_navigation_camera__0.mp4,12245,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012266/raw_navigation_camera__0.mp4,12266,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012273/raw_navigation_camera__0.mp4,12273,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012350/raw_navigation_camera__0.mp4,12350,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012370/raw_navigation_camera__0.mp4,12370,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012375/raw_navigation_camera__0.mp4,12375,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012445/raw_navigation_camera__0.mp4,12445,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012454/raw_navigation_camera__0.mp4,12454,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012479/raw_navigation_camera__0.mp4,12479,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012500/raw_navigation_camera__0.mp4,12500,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012507/raw_navigation_camera__0.mp4,12507,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012592/raw_navigation_camera__0.mp4,12592,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012606/raw_navigation_camera__0.mp4,12606,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012637/raw_navigation_camera__0.mp4,12637,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012675/raw_navigation_camera__0.mp4,12675,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012692/raw_navigation_camera__0.mp4,12692,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012696/raw_navigation_camera__0.mp4,12696,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012698/raw_navigation_camera__0.mp4,12698,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012771/raw_navigation_camera__0.mp4,12771,6,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012785/raw_navigation_camera__0.mp4,12785,4,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012793/raw_navigation_camera__0.mp4,12793,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012854/raw_navigation_camera__0.mp4,12854,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012952/raw_navigation_camera__0.mp4,12952,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/012953/raw_navigation_camera__0.mp4,12953,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013018/raw_navigation_camera__0.mp4,13018,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013027/raw_navigation_camera__0.mp4,13027,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013125/raw_navigation_camera__0.mp4,13125,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013137/raw_navigation_camera__0.mp4,13137,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013166/raw_navigation_camera__0.mp4,13166,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013167/raw_navigation_camera__0.mp4,13167,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013169/raw_navigation_camera__0.mp4,13169,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013175/raw_navigation_camera__0.mp4,13175,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013181/raw_navigation_camera__0.mp4,13181,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013205/raw_navigation_camera__0.mp4,13205,4,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013226/raw_navigation_camera__0.mp4,13226,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013238/raw_navigation_camera__0.mp4,13238,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013259/raw_navigation_camera__0.mp4,13259,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013264/raw_navigation_camera__0.mp4,13264,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013265/raw_navigation_camera__0.mp4,13265,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013276/raw_navigation_camera__0.mp4,13276,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013278/raw_navigation_camera__0.mp4,13278,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013297/raw_navigation_camera__0.mp4,13297,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013298/raw_navigation_camera__0.mp4,13298,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013312/raw_navigation_camera__0.mp4,13312,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013337/raw_navigation_camera__0.mp4,13337,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013340/raw_navigation_camera__0.mp4,13340,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013351/raw_navigation_camera__0.mp4,13351,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013352/raw_navigation_camera__0.mp4,13352,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013391/raw_navigation_camera__0.mp4,13391,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013392/raw_navigation_camera__0.mp4,13392,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013393/raw_navigation_camera__0.mp4,13393,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013415/raw_navigation_camera__0.mp4,13415,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013419/raw_navigation_camera__0.mp4,13419,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013422/raw_navigation_camera__0.mp4,13422,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013426/raw_navigation_camera__0.mp4,13426,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013436/raw_navigation_camera__0.mp4,13436,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013445/raw_navigation_camera__0.mp4,13445,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013447/raw_navigation_camera__0.mp4,13447,6,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013449/raw_navigation_camera__0.mp4,13449,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013458/raw_navigation_camera__0.mp4,13458,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013464/raw_navigation_camera__0.mp4,13464,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013489/raw_navigation_camera__0.mp4,13489,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013527/raw_navigation_camera__0.mp4,13527,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013529/raw_navigation_camera__0.mp4,13529,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013549/raw_navigation_camera__0.mp4,13549,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013623/raw_navigation_camera__0.mp4,13623,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013634/raw_navigation_camera__0.mp4,13634,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013639/raw_navigation_camera__0.mp4,13639,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013641/raw_navigation_camera__0.mp4,13641,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013653/raw_navigation_camera__0.mp4,13653,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013668/raw_navigation_camera__0.mp4,13668,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013687/raw_navigation_camera__0.mp4,13687,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013699/raw_navigation_camera__0.mp4,13699,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013708/raw_navigation_camera__0.mp4,13708,4,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013727/raw_navigation_camera__0.mp4,13727,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013731/raw_navigation_camera__0.mp4,13731,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013757/raw_navigation_camera__0.mp4,13757,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013761/raw_navigation_camera__0.mp4,13761,4,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013807/raw_navigation_camera__0.mp4,13807,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013812/raw_navigation_camera__0.mp4,13812,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013818/raw_navigation_camera__0.mp4,13818,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013819/raw_navigation_camera__0.mp4,13819,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013859/raw_navigation_camera__0.mp4,13859,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013886/raw_navigation_camera__0.mp4,13886,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013911/raw_navigation_camera__0.mp4,13911,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013923/raw_navigation_camera__0.mp4,13923,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013931/raw_navigation_camera__0.mp4,13931,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013943/raw_navigation_camera__0.mp4,13943,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013952/raw_navigation_camera__0.mp4,13952,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013968/raw_navigation_camera__0.mp4,13968,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013975/raw_navigation_camera__0.mp4,13975,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/013980/raw_navigation_camera__0.mp4,13980,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014034/raw_navigation_camera__0.mp4,14034,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014044/raw_navigation_camera__0.mp4,14044,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014064/raw_navigation_camera__0.mp4,14064,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014067/raw_navigation_camera__0.mp4,14067,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014070/raw_navigation_camera__0.mp4,14070,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014122/raw_navigation_camera__0.mp4,14122,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014129/raw_navigation_camera__0.mp4,14129,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014168/raw_navigation_camera__0.mp4,14168,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014172/raw_navigation_camera__0.mp4,14172,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014234/raw_navigation_camera__0.mp4,14234,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014243/raw_navigation_camera__0.mp4,14243,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014263/raw_navigation_camera__0.mp4,14263,19,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014286/raw_navigation_camera__0.mp4,14286,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014299/raw_navigation_camera__0.mp4,14299,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014314/raw_navigation_camera__0.mp4,14314,5,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014320/raw_navigation_camera__0.mp4,14320,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014326/raw_navigation_camera__0.mp4,14326,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014330/raw_navigation_camera__0.mp4,14330,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014397/raw_navigation_camera__0.mp4,14397,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014416/raw_navigation_camera__0.mp4,14416,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014423/raw_navigation_camera__0.mp4,14423,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014424/raw_navigation_camera__0.mp4,14424,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014426/raw_navigation_camera__0.mp4,14426,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014446/raw_navigation_camera__0.mp4,14446,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014454/raw_navigation_camera__0.mp4,14454,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014457/raw_navigation_camera__0.mp4,14457,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014490/raw_navigation_camera__0.mp4,14490,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014496/raw_navigation_camera__0.mp4,14496,4,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014499/raw_navigation_camera__0.mp4,14499,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014506/raw_navigation_camera__0.mp4,14506,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014510/raw_navigation_camera__0.mp4,14510,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014537/raw_navigation_camera__0.mp4,14537,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014544/raw_navigation_camera__0.mp4,14544,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014561/raw_navigation_camera__0.mp4,14561,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014563/raw_navigation_camera__0.mp4,14563,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014568/raw_navigation_camera__0.mp4,14568,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014592/raw_navigation_camera__0.mp4,14592,4,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014604/raw_navigation_camera__0.mp4,14604,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014635/raw_navigation_camera__0.mp4,14635,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014636/raw_navigation_camera__0.mp4,14636,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014643/raw_navigation_camera__0.mp4,14643,5,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014684/raw_navigation_camera__0.mp4,14684,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014702/raw_navigation_camera__0.mp4,14702,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014728/raw_navigation_camera__0.mp4,14728,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014765/raw_navigation_camera__0.mp4,14765,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014774/raw_navigation_camera__0.mp4,14774,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014782/raw_navigation_camera__0.mp4,14782,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014788/raw_navigation_camera__0.mp4,14788,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014807/raw_navigation_camera__0.mp4,14807,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014811/raw_navigation_camera__0.mp4,14811,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014840/raw_navigation_camera__0.mp4,14840,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014854/raw_navigation_camera__0.mp4,14854,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014891/raw_navigation_camera__0.mp4,14891,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014895/raw_navigation_camera__0.mp4,14895,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014901/raw_navigation_camera__0.mp4,14901,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014915/raw_navigation_camera__0.mp4,14915,3,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014916/raw_navigation_camera__0.mp4,14916,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014932/raw_navigation_camera__0.mp4,14932,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014945/raw_navigation_camera__0.mp4,14945,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014947/raw_navigation_camera__0.mp4,14947,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014975/raw_navigation_camera__0.mp4,14975,2,,False,,,NOT_EXTRACTED_STOP_CONDITION
ObjectNavType/val/014988/raw_navigation_camera__0.mp4,14988,1,,False,,,NOT_EXTRACTED_STOP_CONDITION
